ID,Name,Dumpster,Month,Year,Date,Weight,Volume,PlasticBottles,Polystyrene,CigaretteButts,GlassBottles,PlasticBags,Wrappers,SportsBalls,HomesPowered,Points
mister,Mister Trash Wheel,1,May,2014,5/16/2014,4.31,18,1450.0,1820.0,126000.0,72.0,584.0,1162.0,7.0,0,0.43099999999999994
mister,Mister Trash Wheel,2,May,2014,5/16/2014,2.74,13,1120.0,1030.0,91000.0,42.0,496.0,874.0,5.0,0,0.274
mister,Mister Trash Wheel,3,May,2014,5/16/2014,3.45,15,2450.0,3100.0,105000.0,50.0,1080.0,2032.0,6.0,0,0.34500000000000003
mister,Mister Trash Wheel,4,May,2014,5/17/2014,3.1,15,2380.0,2730.0,100000.0,52.0,896.0,1971.0,6.0,0,0.31
mister,Mister Trash Wheel,5,May,2014,5/17/2014,4.06,18,980.0,870.0,120000.0,72.0,368.0,753.0,7.0,0,0.40599999999999997
mister,Mister Trash Wheel,6,May,2014,5/20/2014,2.71,13,1430.0,2140.0,90000.0,46.0,672.0,1144.0,5.0,0,0.271
mister,Mister Trash Wheel,7,May,2014,5/21/2014,1.91,8,910.0,1090.0,56000.0,32.0,416.0,692.0,3.0,0,0.191
mister,Mister Trash Wheel,8,May,2014,5/28/2014,3.7,16,3580.0,4310.0,112000.0,58.0,1552.0,3015.0,6.0,0,0.37
mister,Mister Trash Wheel,9,June,2014,6/5/2014,2.52,14,2400.0,2790.0,98000.0,49.0,984.0,1988.0,6.0,0,0.252
mister,Mister Trash Wheel,10,June,2014,6/11/2014,3.76,18,1340.0,1730.0,130000.0,75.0,448.0,1066.0,7.0,0,0.376
mister,Mister Trash Wheel,11,June,2014,6/11/2014,3.43,15,740.0,869.0,110000.0,38.0,344.0,544.0,6.0,0,0.343
mister,Mister Trash Wheel,12,June,2014,6/12/2014,4.17,19,950.0,1140.0,133000.0,45.0,520.0,727.0,8.0,0,0.417
mister,Mister Trash Wheel,13,June,2014,6/13/2014,5.13,15,530.0,630.0,104000.0,58.0,224.0,361.0,6.0,0,0.513
mister,Mister Trash Wheel,14,June,2014,6/13/2014,4.17,15,840.0,760.0,100000.0,62.0,344.0,631.0,6.0,0,0.417
mister,Mister Trash Wheel,15,June,2014,6/19/2014,3.28,15,1130.0,1350.0,102000.0,64.0,432.0,883.0,6.0,0,0.32799999999999996
mister,Mister Trash Wheel,16,June,2014,6/19/2014,3.05,15,1640.0,2130.0,106000.0,56.0,752.0,1327.0,6.0,0,0.305
mister,Mister Trash Wheel,17,June,2014,6/28/2014,2.49,13,1350.0,1620.0,89000.0,47.0,696.0,1075.0,5.0,0,0.24900000000000003
mister,Mister Trash Wheel,18,July,2014,7/3/2014,2.54,15,1640.0,1960.0,108000.0,65.0,744.0,1327.0,6.0,0,0.254
mister,Mister Trash Wheel,19,July,2014,7/7/2014,2.41,15,1730.0,2100.0,107000.0,63.0,896.0,1405.0,6.0,0,0.24100000000000002
mister,Mister Trash Wheel,20,July,2014,7/11/2014,3.83,18,5960.0,6540.0,132000.0,79.0,2560.0,5085.0,7.0,0,0.383
